mapping_code,area_id,expect_career_group,expect_career_oth,career_need,career_need_oth,career_need_reason,work_location_site
01-0005,1,[],,"[""6""]",จักสาน,ต้องการรายได้เสริม,0
01-0018,1,[],,"[""1""]",,,0
01-0021,1,[],,"[""6""]",รับจ้างทั่วไป,เหมาะกับตนเอง ตามสภาพร่างกาย ไม่มีที่ดินของตนเอง,0
01-0024,1,[],,"[""6""]",รับจ้างทั่วไป,ตามสภาพร่างกาย,0
01-0030,1,[],,"[""5""]",,,0
01-0040,1,[],,"[""6""]",ทำไม้กวาด,อายุมากแล้ว ทำงานหนักไม่ไหว ทำไม้กวาดง่าย มีวัสดุในพื้นที่อยู่แล้ว,0
01-0041,1,[],,"[""3""]",,,0
01-0053,1,[],,"[""2""]",,,0
01-0055,1,[],,"[""5""]",,,0
01-0076,1,[],,"[""6""]",ปลูกผัก เลี้ยงไก่ ,มือสั่น ทำอย่างอื่นไม่ค่อยได้,0
01-0089,1,[],,"[""5""]",,,0
01-0093,1,[],,"[""6""]",รับจ้างทั่วไป,ทำงานหนักไม่ได้,0
01-0095,1,[],,"[""1""]",,,0
01-0100,1,[],,"[""6""]",ไม่ต้องการ,ทำงานไม่ได้,0
01-0106,1,"[""6""]",จักรสาน,"[""6""]",จักรสาน,มีความถนัด วัสดุหาง่าย,0
01-0111,1,[],,"[""5""]",,,0
01-0114,1,[],,"[""6""]",รับจ้างทั่วไป,ไม่มีที่ดินของตนเอง,0
01-0120,1,[],,"[""6""]","จักสาน, เลี้ยงไก่",ร่างกายไม่ค่อยแข็งแรง,0
01-0123,1,[],,"[""6""]",เลี้ยงไก่,ร่างกายไม่แข็งแรงอยากทำงานที่บ้าน,0
01-0125,1,"[""6"",""4""]",เลี้ยงปลา,"[""6""]",เลี้ยงปลา,อยากมีรายได้ ทำได้ตามสภาพร่างกาย,0
01-0136,1,[],,"[""6""]",ปลูกผัก,ร่างกายไม่เอื้ออำนวยทำงานงานหนักไม่ได้ อายุมาก,0
01-0137,1,[],,"[""6""]",ปลูกผัก,ไม่มีที่ดินทำกิน,0
01-0139,1,[],,"[""6""]",จักสาน,ไม่เหนื่อยมาก พอทำได้,0
01-0140,1,[],,"[""6""]",ปลูกผัก,ถนัด ไม่หนักเกินไป,0
01-0144,1,[],,"[""5""]",,,0
01-0147,1,"[""1""]",,"[""6""]",ปลูกผัก,ร่างกายไม่แข็งแรงอายุมาก,0
01-0149,1,[],,"[""6""]",ปลูกผักที่บ้าน,"เหมาะกับตนเอง
ทำที่บ้าน",0
01-0150,1,[],,"[""6""]",เลี้ยงไก่,เหมาะกับตนเอง,0
01-0151,1,[],,"[""6""]",ทำไม้กวาด,มีความถนัด ทำง่าย วัสดุหาง่าย,0
01-0154,1,"[""1""]",,"[""6""]",ร่างกายไม่แข็งแรง,ร่างกายไม่อำนวย,0
01-0158,1,[],,"[""6""]",เจ้าของสวนยาง จ้างคนกรีดแทน,ทำเองไม่ไหวสุขภาพไม่ดีจ้างคนทำ,0
01-0160,1,"[""6""]","ปลูกผัก,เลี้ยงไก่,ทำไม้กวาด","[""6""]","ทำไม้กวาด,เลี้ยงไก่,ปลูกผัก",ร่างกายไม่เอื้ออำนวย,0
01-0164,1,[],,"[""6""]",ปลูกผัก,มีอาการเจ็บป่วย,0
01-0184,1,[],,"[""6""]",อาชีพจักสาน,มีรายได้ ทำได้ที่บ้าน เป็นงานที่ถนัด,0
01-0190,1,[],,"[""6""]",งานฝีมือ งานประดิษฐ์,ถนัดงานด้านนี้,0
01-0193,1,[],,"[""3""]",,,0
01-0196,1,[],,"[""6""]",จักสาร,หาอุปกรณ์ง่าย ขายง่าย,0
01-0197,1,[],,"[""6""]",จักสาร,,0
01-0205,1,"[""6""]",จักสาร,"[""2""]",,,0
01-0207,1,[],,"[""1"",""5""]",,,0
01-0208,1,[],,"[""1""]",,,0
01-0210,1,"[""1""]",,"[""6""]",จักสาน,ขายง่าย หาไม้ไผ่เองได้,0
01-0211,1,"[""1""]",,"[""6""]",จักสาน,ขายง่าย หาวัสดุง่าย,0
01-0214,1,[],,"[""3"",""5""]",,,0
01-0217,1,[],,"[""4""]",,,0
01-0231,1,"[""1""]",,"[""2""]",,,0
01-0232,1,"[""1""]",,"[""6""]",ปลูกผักสวนครัว,ดูแลง่าย ขายง่าย ทำที่บ้านได้,0
01-0239,1,[],,"[""3"",""5""]",,,0
01-0249,1,[],,"[""6""]",หมอทำขวัญพื้นบ้าน,ถนัดงานนี้ ทำได้ที่บ้าน มีรายได้,0
01-0267,1,"[""6""]",สารตะกร้า,"[""6""]",จักสานตะกร้า,ถนัดด้านฝีมือ ขายได้,0
01-0268,1,[],,"[""6""]",รับจ้างทั่วไป,ถนัดงานนี้ สร้างรายได้,0
01-0270,1,[],,"[""6""]",เย็บผ้า,เจ็บป่วย เป็นผู้พิการ ทำงานหนักไม่ได้,0
01-0277,1,[],,"[""4""]",,,0
01-0288,1,"[""6""]",ประดิษฐ์,"[""6""]",งานประดิษฐ์,ถนัดด้านนี้ มีรายได้ ทำได้ที่บ้าน,0
01-0295,1,[],,"[""1""]",,,0
01-0297,1,"[""3""]",,"[""1""]",,,0
01-0301,1,[],,"[""5"",""3""]",,,0
01-0303,1,[],,"[""1""]",,,0
01-0304,1,[],,"[""6""]",ช่างปูน ช่างไม้,ต้องการรายได้เสริม,0
01-0307,1,[],,"[""6""]",ปลูกผัก,อายุมากแล้ว,0
01-0309,1,[],,"[""6""]",ปลูกผัก,ไม่สามารถทำงานหนักได้ อายุมากแล้ว,0
01-0314,1,[],,"[""5""]",,,0
01-0317,1,[],,"[""6""]",ปลูกผัก,อายุมากแล้ว,0
01-0319,1,[],,"[""6""]",รับจ้างทั่วไป,ไม่มีความสามารถด้านค้าขายและการเกษตร,0
01-0323,1,[],,"[""6""]",เลี้ยงไก่,ทำได้ในบ้าน,0
01-0325,1,[],,"[""6""]",เลี้ยงไก่,ทำง่าย เคยทำ เลี้ยงในบ้าน,0
01-0327,1,[],,"[""6""]",รับจ้าง,ทำได้ตามสภาพ อายุมากแล้ว,0
01-0330,1,[],,"[""5""]",,,0
01-0331,1,"[""1""]",,"[""6""]",ปลูกผัก เลี้ยงไก่,ร่างกายไม่พร้อมทำงานเพราะชรา ทำงานหนักไม่ได้,0
01-0332,1,"[""6""]",เลี้ยงไก่,"[""6""]",เลี้ยงเป็ด เลี้ยงไก่,ร่างกายไม่แข็งแรง ทำงานหนักไม่ได้ อยากมีรายได้เสริม,0
01-0334,1,[],,"[""5""]",,,0
01-0335,1,[],,"[""5""]",,,0
01-0339,1,"[""1""]",,"[""6""]",ปลูกผัก,มีอาการเจ็บป่วย ทำงานหนักไม่ได้,0
01-0342,1,[],,"[""6""]",เลี้ยงไก่,อยากทำงานที่บ้าน,0
01-0347,1,[],,"[""5""]",,,0
01-0351,1,[],,"[""6""]",รับจ้างทั่วไป,ต้องการรายได้เสริม,0
01-0363,1,[],,"[""5""]",,,0
01-0368,1,"[""6""]",เลี้ยงเป็ด ไก่,"[""6""]",เลี้ยงไก่,อยากมีรายได้เพิ่ม,0
01-0374,1,"[""1""]",,"[""6""]",รับจ้าง,อยากมีรายได้ แต่สภาพร่างกายไม่ดี,0
01-0379,1,"[""5""]",,"[""6""]",รับจ้างทั่วไป,อายุมาก ทำงานหนักไม่ได้,0
01-0380,1,[],,"[""5""]",,,0
01-0381,1,[],,"[""1""]",,,0
01-0382,1,[],,"[""6""]",เกษตร,อยากมีรายได้,0
01-0383,1,[],,"[""6""]",ปลูกผัก,อายุมากแล้ว,0
01-0384,1,[],,"[""2""]",,,0
01-0390,1,[],,"[""6""]",ปลูกผัก,อายุมาก,0
01-0394,1,[],,"[""6""]",ปลูกผักสวนครัว,ทำงานหนักไม่ค่อยได้ ร่างกายไม่แข็งแรง,0
01-0397,1,[],,"[""5""]",,,0
01-0400,1,[],,"[""6""]",รับจ้างทั่วไป,ไม่มีที่ดินทำกิน,0
01-0401,1,[],,"[""6""]",เลี้ยงไก่ เลี้ยงเป็ด,อยากมีรายได้เสริม อายุมากแกล้ว,0
01-0402,1,[],,"[""6""]",ปลูกผักสวนครัว,อยากมีรายได้เสริมที่ตัวเองสามารถทำได้,0
01-0405,1,[],,"[""6""]",รับจ้าง,ไม่มีที่ดินทำกิน,0
01-0406,1,[],,"[""6""]",รับจ้างทั่วไป,ไม่มีที่ดินทำกิน,0
01-0408,1,[],,"[""5""]",,,0
01-0409,1,[],,"[""5""]",,,0
01-0412,1,[],,"[""6""]",รับจ้างเย็บผ้า,ถนัด ทำอยู่แล้ว,0
01-0413,1,[],,"[""6""]",ซ่อมรถ,ถนัด,0
01-0414,1,[],,"[""6""]",จักสาน,ร่างกายไม่แข็งแรง,0
01-0417,1,[],,"[""5""]",,,0
01-0418,1,"[""1""]",,"[""6""]",ปลูกผัก,อาการเจ็บป่วยทางสมอง ทำงานหนักไม่ได้,0
01-0421,1,[],,"[""5""]",,,0
01-0423,1,"[""5""]",,"[""6""]",ปลูกผักขาย,ทำงานหนักไม่ได้สุขภาพร่งกายไม่อำนวย,1
01-0425,1,[],,"[""6""]",รับจ้างทั่วไป,มีปัญหาสุขภาพทำงานหนักไม่ได้,0
01-0426,1,[],,"[""6""]",ปลูกผัก,ร่างกายไม่อำนวย,0
01-0430,1,[],,"[""6""]",จักสาน,ไม่มี,0
01-0435,1,[],,"[""5""]",,,0
01-0441,1,[],,"[""5""]",,,0
01-0460,1,[],,"[""6""]",รับจ้างทั่วไป,ไม่ถนัดค้าขายและเกษตร,0
01-0471,1,[],,"[""1""]",,,0
01-0505,1,[],,"[""6""]","เลี้ยงไก่,ปลูกผัก","เหมาะกับตัวเอง,ทำงานที่บ้าน",0
01-0511,1,[],,"[""6""]",,,0
01-0513,1,"[""5""]",,"[""6""]",รับจ้างทั่วไป,อายุมากแล้ว,0
01-0528,1,[],,"[""5""]",,,0
01-0542,1,[],,"[""5""]",,,0
01-0558,1,[],,"[""5""]",,,0
01-0566,1,[],,"[""6""]",งานช่างปูน ช่างไม้,ถนัด,0
01-0577,1,[],,"[""5""]",,,0
01-0578,1,[],,"[""1""]",,,0
01-0583,1,[],,"[""6""]",เย็บผ้า,มีความสามารถ,0
01-0585,1,"[""6""]",ปลูกผัก,"[""6""]",ปลูกผักขายเองที่ตลาดนัด,"แก้เหงา,มีรายได้",0
01-0594,1,"[""6""]",เลี้ยงไก่ไข่,"[""6""]",เลี้ยงไก่ จักสาน,ไม่เหนื่อยมาก เหมาะกับร่างกาย,0
01-0597,1,[],,"[""6""]",นวด,ไม่มีเวลาทำงานอย่างอื่นแล้ว,0
01-0600,1,[],,"[""1""]",,,0
01-0605,1,[],,"[""6""]","รับจ้างทั่วไป,เย็บผ้า",มีความถนัด,0
01-0606,1,[],,"[""1""]",,,0
01-0614,1,[],,"[""6""]",เลี้ยงไก่,เอาไว้ขายมีรายได้เพิ่ม,0
01-0617,1,[],,"[""6""]",เย็บเสื้อผ้าตามออร์เดอร์,มีความถนัดและอยากทำ,0
01-0621,1,[],,"[""1""]",,,0
01-0624,1,[],,"[""6""]",งานฝีมือ,ชอบทำงานถัก,0
01-0627,1,[],,"[""6""]",เย็บผ้าที่บ้าน,"ออกแดดไม่ได้ จะเป็นลม
เย็บผ้าเก่ง เย็บตามออเดอร์",0
01-0629,1,[],,"[""4""]",,,0
01-0631,1,[],,"[""1""]",,,0
01-0636,1,[],,"[""6""]",เย็บผ้า,"มีความถนัด,ทำที่บ้าน,แก้เหงา",0
01-0639,1,[],,"[""6""]",ปลูกผักขายเอง,เหมาะกับสุขภาพของตัวเอง,0
01-0640,1,[],,"[""6""]",ปลูกผัก,ไม่รู้จะทำอะไร,0
01-0648,1,"[""3""]",,"[""6""]",ปลูกผักขาย,อยากปลูกผักขายที่บ้าน,0
01-0658,1,"[""5""]",,"[""6""]",รับงานมาทำที่บ้าน เย็บผ้า,ร่างกายไม่ค่อยแข็งแรง อยากทำงานมีรายได้ที่บ้าน และการรวมกลุ่มทำงาน,0
01-0662,1,[],,"[""1""]",,,0
01-0663,1,[],,"[""6""]",เลี้ยงไก่,ใช้ระยะเวลาในการเลี้ยงไม่นาน,0
01-0668,1,"[""6""]",ปลูกผักขายตามบ้าน,"[""6""]",ปลูกผักที่บ้านขายตามบ้าน,เหมาะกับสุขภาพตนเอง ปลูกไว้รับประทานเองด้วย ปลอดสาร ปลอดภัย,0
01-0670,1,[],,"[""5""]",,,0
01-0674,1,[],,"[""5""]",,,0
01-0675,1,[],,"[""5""]",,,0
01-0680,1,[],,"[""6""]",รับจ้างทั่วไป งานเดิมที่ทำ,มั่นคง งานประจำรับจ้างดูแลสวนของวนอุทยานน้ำตกธารทอง,0
01-0682,1,[],,"[""6""]",รับจ้างทั่วไป งานช่างฝีมือ,ความถนัด,0
01-0684,1,[],,"[""5""]",,,0
01-0690,1,"[""6""]",เลี่ยงไก่,"[""6""]",เลี้ยงไก่,มีพื้นที่เอื้ออำนวย สามารถทำที่บ้านได้,0
01-0691,1,[],,"[""5""]",,,0
01-0696,1,[],,"[""6""]",ไม่ต้องการทำงาน,ปัญหาสุขภาพ เป็นหลายโรค โดยเฉพาะโรคหลอดเลือดหัวใจตีบ อยู่ในที่เสียงดังไม่ได้ ตื่นเต้นมากไม่ได้,0
01-0697,1,[],,"[""6""]",รับจ้างทั่วไป,ถนัด,0
01-0706,1,[],,"[""6""]",เลี้ยงไก่และสวนผักบริเวณบ้าน,ปัจจุบันเลี้ยงชีพด้วยงานนี้และทำที่บ้านได้ เพราะไม่สะดวกการเดินทางด้วยสุขภาพและอายุ,0
01-0711,1,"[""5"",""3""]",,"[""6""]",รับจ้างทั่วไปที่เหมาะกับอายุและสุขภาพ,-,0
01-0712,1,[],,"[""6""]",ช่างฝีมือ เช่น ช่างไม้ ช่างปูน,ความถนัด และเป็นงานที่ทำประจำอยู่แล้ว,0
01-0713,1,[],,"[""5""]",,,0
01-0715,1,"[""6""]",ไม่ต้องการทำงาน,"[""6""]",ไม่ต้องการทำงาน,อายุเยอะแล้ว สุขภาพไม่ค่อยแข็งแรง การมองเห็นไม่ชัดเจน,0
01-0716,1,[],,"[""2"",""5""]",,,0
01-0717,1,[],,"[""5"",""2""]",,,0
01-0720,1,"[""6""]",เลี้ยงไก่,"[""6""]",เลี้ยงไก่,เลี้ยงที่บ้านได้,0
01-0721,1,[],,"[""6""]",เลี้ยงไก่,สถานที่เอื้ออำนวยและสามารถทำที่บ้านได้,0
01-0726,1,[],,"[""6""]",รับจ้างทั่วไป,อยากมีรายได้เพิ่ม,0
01-0727,1,[],,"[""6""]",ไม่ต้องการทำงาน,อายุเยอะและสุขภาพไม่แข็งแรง หน้ามืดบ่อย,0
01-0735,1,[],,"[""6""]",รับจ้างทั่วไป งานช่างต่างๆ,ถนัด,0
01-0736,1,[],,"[""6""]",งานฝีมือต่างๆ เช่น ทำไม้กวาด,ใช้แรงน้อย และถนัด,0
01-0744,1,[],,"[""6""]",ไม่ต้องการทำงานเพิ่ม,-,0
01-0752,1,"[""6""]",จักสาน งานฝีมือ,"[""6""]",จักสาน ทำไม้กวาด เย็บผ้า งานฝีมือ,ไม่สามารถใช้แรงเยอะได้,0
01-0756,1,[],,"[""6""]",จักสานและรับจ้างทั่วไป,มีความรู้ความสามารถในด้านจักสานไม้ไผ่,0
01-0757,1,[],,"[""6""]",งานฝีมือ ทำไม้กวาด,ไม่สามารถใช้แรงเยอะได้,0
01-0765,1,"[""6""]",ไม่ต้องการทำงาน,"[""6""]",ไม่ต้องการทำงาน,เนื่องจากมีภาระต้องดูแลบิดาที่อายุมากที่มีการเจ็บป่วยด้วย,0
01-0772,1,[],,"[""5""]",,,0
01-0791,1,[],,"[""6""]",รับจ้างทั่วไป,ทำประจำอยู่แล้ว,0
01-0792,1,"[""5""]",,"[""6""]",รับจ้างทั่วไป,คิดว่าน่าจะทำได้ดี เพราะเคยทำมาก่อน,1
01-0799,1,"[""6""]",งานฝีมือ,"[""6""]",ทำสวิง,ถนัด,0
01-0802,1,[],,"[""1""]",,,0
01-0813,1,[],,"[""6""]",ไม่ต้องการทำงาน,อายุและสุขภาพ,0
01-0822,1,"[""6""]",ไม่ต้องการทำงาน,"[""6""]",ไม่ต้องการทำงาน,ไม่ต้องการทำงาน,0
01-0823,1,[],,"[""4""]",,,0
01-0825,1,"[""6""]",ไม่ต้องการทำงาน,"[""6""]",ไม่ต้องการทำงาน,อายุเยอะและสุขภาพไม่เอื้ออำนวย,0
01-0827,1,"[""1"",""6""]",จักสาน,"[""2""]",,,0
01-0830,1,[],,"[""5""]",,,0
01-0831,1,[],,"[""6""]",รับจ้างโครงการหลวง,มีรายได้ประจำ,0
01-0837,1,[],,"[""6""]",-,อายุและสุขภาพ,0
01-0838,1,[],,"[""6""]",งานช่าง เช่น ช่างไม้ ช่างปูน,ถนัด,0
01-0839,1,[],,"[""1""]",,,0
01-0840,1,[],,"[""6""]",ไม่ต้องการทำ,สุขภาพไม่เอื้ออำนวย,0
01-0841,1,[],,"[""6""]",,อายุมากแล้ว,0
01-0846,1,"[""6""]",งานฝีมือ,"[""6""]",งานฝีมือต่างๆ ทำไม้กวาด,ถนัดและใช้แรงไม่เยอะ,0
01-0851,1,[],,"[""2""]",,,0
01-0855,1,[],,"[""6""]",ร้านเสริมสวย,ถนัด,0
01-0860,1,[],,"[""6""]",หมอทำขวัญ,มีความชำนาญ และมีความรู้ความสามารถ,0
01-0872,1,"[""6""]",เลี้ยงไก่,"[""6""]",เลี้ยงไก่,สามารถทำที่บ้านได้,0
01-0873,1,"[""6""]",ไม่ต้องการทำงาน,"[""6""]",ไม่ต้องการทำงาน,สุขภาพไม่ค่อยแข็งแรง อายุเยอะ,0
01-0879,1,"[""6""]",เลี้ยงไก่,"[""6""]",เลี้ยงไก่,ชอบ และมีความถนัด,0
01-0886,1,[],,"[""6""]",เลี้ยงไก่,สบายใจได้เลี้ยงสัตว์,0
01-0887,1,[],,"[""5""]",,,0
01-0890,1,[],,"[""6""]",จักสาน,มีความถนัดสานไซดักปลาและสุ่มไก่,0
01-0893,1,[],,"[""5""]",,,0
01-0904,1,"[""6""]",ปลูกผัก เลี้ยงไก่,"[""6""]",ปลูกผัก เลี้ยงไก่,,0
01-0908,1,"[""1""]",,"[""6""]",ปลูกผักขายที่บ้าน,อยากทำที่บ้าน ปลูกไว้ขายและกินเอง,0
01-0916,1,"[""6""]","เลี้ยงกบ,ได้,ปลา","[""6""]","เลี้ยงไก่,ปลา,กบ","มีบ่อปลาอยู่แล้ว
อยากทำที่บ้าน
อยากมีรายได้
และคลายเหงา",0
01-0920,1,[],,"[""6""]","สวนปาล์ม,เลี้ยงไก่","ทำอยู่แล้ว,มีความถนัด",0
01-0923,1,"[""4""]",,"[""6""]",ประมง เลี้ยงปลา,เหมาะกับสภาพร่างกาย ปัจจุบันใช้ไม้เท้า,0
01-0924,1,[],,"[""6""]",เลี้ยวไก่,"แก้เหงา,มีรายได้เพิ่ม",0
01-0929,1,[],,"[""2""]",,,0
01-0930,1,"[""1""]",,"[""6""]",ไม่มี,ร่างกายไม่เอื้ออำนวย,0
01-0934,1,[],,"[""5""]",,,0
01-0939,1,"[""6""]",เลี้ยงไก่,"[""4""]",,,0
01-0941,1,[],,"[""6""]",ทำสวนปาล์ม,เคยทำ มีความถนัด และไม่เหนื่อยมาก,0
01-0955,1,"[""3""]",,"[""1""]",,,0
01-0956,1,[],,"[""1""]",,,0
01-0960,1,"[""3""]",,"[""5""]",,,0
01-0961,1,[],,"[""6""]",เลี้ยงไก่ไข่,งานไม่หนักมาก มีรายได้เสริม,0
01-0972,1,[],,"[""1""]",,,0
01-0973,1,[],,"[""6""]",งานดอกไม้ประดิษฐ์,ทำแล้วสนุกเพราะได้เจอเพื่อน ๆ ได้ทำเป็นกลุ่ม,0
01-0981,1,[],,"[""1""]",,,0
01-0987,1,[],,"[""2"",""5""]",,,0
01-0988,1,"[""6""]",ปลูกผักขายที่บ้าน,"[""6""]",ปลูกผักขายตามบ้าน,เหมาะกับสภาพร่างกายปัจจุบัน,0
01-0991,1,[],,"[""6""]",ดอกไม้ประดิษฐ์,มีคนมาหา ได้พบปะผู้คน,0
01-0995,1,[],,"[""6""]",เลี้ยงกบ,เลี้ยงกบอยู่บ้านเหมาะกับสภาพร่างกาย,0
01-0999,1,[],,"[""5""]",,,0
01-1001,1,[],,"[""5""]",,,0
01-1007,1,[],,"[""6""]",เลี้ยงสุกร,ถนัด สามารถสร้างรายได้ เป็นอาชีพที่ทำมานาน,0
01-1010,1,"[""6""]",ทำไม่ได้ เพราะเป็นโรคหัวเข่าเสื่อม,"[""6""]",ทำไม่ได้,ร่างกายไม่แข็งแรง,0
01-1015,1,[],,"[""1""]",,,0
01-1021,1,"[""6""]",ทำผม,"[""6""]",ทำผม,ถนัด ทำให้มีรายได้,0
01-1030,1,"[""6""]",เลี้ยงไก่,"[""6""]",ไม่ต้องการทำงาน,เป็นผู้ป่วยพิการขา,0
01-1038,1,"[""1""]",,"[""6""]",ไม่ต้องการทำงาน,เจ็บป่วยเป็นเบาหวาน โรคไต อาการกำเริบ,0
01-1041,1,[],,"[""5""]",,,0
01-1048,1,[],,"[""5""]",,,0
01-1057,1,[],,"[""6""]",รับจ้างทั่วไป,ถนัดงานด้านนี้ เป็นอาชีพที่เลี้ยงตนเองได้,0
01-1059,1,[],,"[""6""]",รับจ้างทั่วไป,ถนัดด้านนี้ มีรายได้เลี้ยงครอบครัว,0
01-1064,1,[],,"[""6""]",จักสาน,งานเบา ทำได้ที่บ้าน และขายได้,0
01-1068,1,[],,"[""4""]",,,0
01-1070,1,"[""6""]",ไม่ต้องการทำงาน,"[""6""]",ไม่ต้องการทำงาน,สุขภาพไม่ดี แก่ชรา เจ็บข้อเข่า,0
01-1076,1,[],,"[""5""]",,,0
01-1095,1,"[""6""]",ป่วยโรคผิวหนัง,"[""6""]",ปลูกผักสวนครัว,ปลูกไว้ขายและรับประทานเอง ทำได้ง่ายที่บ้าน,0
01-1096,1,"[""6""]",จักสาน,"[""6""]",จักสาน,ถนัด สามารถทำได้ที่บ้าน,0
01-1101,1,[],,"[""3""]",,,0
01-1102,1,[],,"[""5""]",,,0
01-1109,1,[],,"[""5""]",,,0
01-1114,1,"[""6""]",เลี้ยงไก่,"[""6""]",ไม่ต้องการทำงาน,เจ็บป่วยกระดูกเสื่อม ไทรอยด์เป็นพิษ แผลติดเชื้อทำากรผ่าตัด 3 รอบ กำลังฝึกเดิน,0
01-1116,1,"[""6""]",เลี้ยงไก่,"[""6""]",ไม่ต้องการทำงาน,เจ็บป่วยด้วยโรคถุงลมโป่งพอง เหนื่อยง่าย ทำงานหนักไม่ได้,0
01-1118,1,"[""1"",""6""]",เลี้ยงไก่,"[""6""]",เลี้ยงไก่พื้นบ้าน,เลี้ยงง่าย เลี้ยงได้ที่บ้าน มีรายได้จากการขาย และรับประทานเอง,0
01-1122,1,[],,"[""1""]",,,0
01-1124,1,[],,"[""6""]",-,แก่ชรา ไม่ค่อยแข็งแรง ไม่สามารถทำงานได้,0
01-1125,1,[],,"[""6""]",เพาะเห็ด,ขายดี รายได้ดี ทำเป็นอาชีพอยู่แล้ว,0
01-1126,1,[],,"[""6""]",เพาะเห็ด,ขายง่าย เป็นงานที่ทำอยู่แล้ว,0
01-1140,1,[],,"[""5""]",,,0
01-1156,1,[],,"[""5""]",,,0
01-1180,1,[],,"[""6""]",เลี้ยงปลา เลี้ยงไก่,ทำงานหนักไม่ได้,0
01-1187,1,"[""6""]",เลี้ยงไก่ เลี้ยงเป็ด,"[""6""]",เลี้ยงไก่,อยากมีรายได้,0
01-1200,1,[],,"[""5""]",,,0
01-1232,1,[],,"[""5""]",,,0
01-1247,1,[],,"[""6""]",เลี้ยงไก่,มีพื้นที่ในบริเวณที่สามารถใช้เลี้ยงไก่ได้ ทำได้ที่บ้าน,0
01-1248,1,[],,"[""6""]",เลี้ยงไก่,ทำที่บ้านได้ มีพื้นที่เอื้ออำนวย มีสายพันธุ์ไก่กระดูกดำ,0
01-1249,1,[],,"[""6""]",ปักผ้าชนเผ่า,มีความรู้และถนัดการแกะลายผ้าชนเผ่า,0
01-1253,1,[],,"[""6""]",ปักผ้าชนเผ่า,มีความถนัดทางด้านนี้,0
01-1257,1,"[""6""]",เลี้ยงไก่,"[""6""]",เลี้ยงไก่,มีพื้นที่เอื้ออำนวย ไม่ใช้แรงเยอะ สามารถทำที่บ้านได้,1
01-1260,1,"[""6""]",เลี้ยงไก่,"[""6""]",เลี้ยงไก่,มีเล้าไก่เดิมที่บ้าน,0
01-1263,1,[],,"[""6""]",เลี้ยงไก่ไข่,เพราะที่บ้านมีเล้าไก่อยู่ เลี้ยงไก่ไม่ต้องใช้แรงเยอะ ทำที่บ้านได้,0
01-1269,1,[],,"[""2""]",,,0
01-1271,1,[],,"[""6""]",ปักผ้าชนเผ่า,มีความรู้และชำนาญในการปักผ้าชนเผ่า,0
01-1272,1,"[""6""]",เลี้ยงไก่,"[""6""]",เลี้ยงไก่,มีพื้นที่ทำที่บ้านได้,0
01-1273,1,[],,"[""6""]",ปักผ้าชนเผ่า,มีความรู้และถนัดการแกะลายผ้า,0
01-1274,1,[],,"[""2""]",,,0
01-1279,1,[],,"[""6""]",เลี้ยงไก่,มีสถานที่พร้อม สามารถทำที่บ้านได้,0
01-1280,1,[],,"[""2""]",,,0
01-1281,1,"[""6""]",เลี้ยงไก่,"[""6""]",เลี้ยงไก่,"สามารถทำที่บ้านได้
ในหมู่บ้านมีสายพันธุ์ไก่ที่ขายได้ราคาดี",0
